,average_cost_for_two,cuisines,currency,establishment_types,has_online_delivery,has_table_booking,id,include_bogo_offers,is_book_form_web_view,is_delivering_now,is_table_reservation_supported,is_zomato_book_res,location.address,location.city,location.city_id,location.country_id,location.latitude,location.locality,location.locality_verbose,location.longitude,location.zipcode,medio_provider,mezzo_provider,name,offers,opentable_support,price_range,switch_to_order_menu,user_rating.aggregate_rating,user_rating.custom_rating_text,user_rating.custom_rating_text_background,user_rating.rating_color,user_rating.rating_text,user_rating.rating_tool_tip,user_rating.votes
0,25,"Seafood, Southern, Cajun",$,[],0,0,16981633,True,0,0,0,0,"241 W Charleston Blvd, Suite 101, Las Vegas 89102",Las Vegas,282,216,36.1586690000,Downtown,"Downtown, Las Vegas",-115.1568770000,89102,,OTHER,Lola's: A Louisiana Kitchen,[],0,2,0,4.7,,,3F7E00,Excellent,,320
0,40,"Japanese, Seafood, Sushi",$,[],0,0,16979966,True,0,0,0,0,"3200 S Las Vegas Blvd Ste 1132, Las Vegas 89109",Las Vegas,282,216,36.1270189000,The Strip,"The Strip, Las Vegas",-115.1683612000,89109,,OTHER,RA Sushi,[],0,3,0,4.0,,,5BA829,Very Good,,162
0,70,"Seafood, Cajun",$,[],0,0,16978319,True,0,0,0,0,3799 Las Vegas Boulevard South 89109,Las Vegas,282,216,36.1037700000,The Strip,"The Strip, Las Vegas",-115.1675600000,89109,,OTHER,Emeril's New Orleans Fish House,[],0,4,0,4.1,,,5BA829,Very Good,,296
0,40,"Seafood, Cajun",$,[],0,0,16981028,True,0,0,0,0,"4810 Spring Mountain Road, Las Vegas 89102",Las Vegas,282,216,36.1264210000,West Side,"West Side, Las Vegas",-115.2058440000,89102,,OTHER,Hot N Juicy Crawfish,[],0,3,0,4.6,,,3F7E00,Excellent,,267
0,25,"Seafood, Fish and Chips",$,[],0,0,16982440,True,0,0,0,0,"3663 Las Vegas Blvd S Ste 435, Las Vegas 89109",Las Vegas,282,216,36.1107700000,The Strip,"The Strip, Las Vegas",-115.1728200000,89109,,OTHER,Lobster ME,[],0,2,0,3.8,,,9ACD32,Good,,72
0,70,Seafood,$,[],0,0,16980011,True,0,0,0,0,"3930 Las Vegas Boulevard S, Las Vegas 89119",Las Vegas,282,216,36.0920890000,The Strip,"The Strip, Las Vegas",-115.1729920000,89119,,OTHER,RM Seafood,[],0,4,0,3.9,,,9ACD32,Good,,139
0,25,Seafood,$,[],0,0,16982525,True,0,0,0,0,"4025 S Decatur Blvd, Las Vegas 89103",Las Vegas,282,216,36.1173911000,West Side,"West Side, Las Vegas",-115.2083553000,89103,,OTHER,The Boiling Crab,[],0,2,0,3.9,,,9ACD32,Good,,33
0,70,"Japanese, Seafood",$,[],0,0,16980683,True,0,0,0,0,"3663 Las Vegas Boulevard S #580, Las Vegas 89109",Las Vegas,282,216,36.1107700000,The Strip,"The Strip, Las Vegas",-115.1728200000,89109,,OTHER,Todai,[],0,4,0,4.2,,,5BA829,Very Good,,107
0,70,Seafood,$,[],0,0,16980332,True,0,0,0,0,3400 Las Vegas Boulevard South 89109,Las Vegas,282,216,36.1241400000,The Strip,"The Strip, Las Vegas",-115.1765000000,89109,,OTHER,Stack Restaurant & Bar,[],0,4,0,4.0,,,5BA829,Very Good,,111
0,40,"Seafood, Southern, Cajun",$,[],0,0,16982896,True,0,0,0,0,3717 Las Vegas Boulevard South Suite 2 Q 89109,Las Vegas,282,216,36.1088688032,The Strip,"The Strip, Las Vegas",-115.1721931901,89109,,OTHER,Bubba Gump Shrimp Co.,[],0,3,0,3.6,,,9ACD32,Good,,43
